"BUSINESS_NAME","CASE_NUMBER","DBA","LOCATION","NEIGHBORHOOD_NAME","POLICE_DISTRICT_WHEN_LAST_UPDATED","STATUS_CODE","WARD"
"CUZIN G, INC","17-0001","","2005  LOCUST ST","Downtown West","4","CLOSED","6"
"KINGS FOOD PHILLIPS INC                 ","17-0002","","3700  UNION BLVD","Mark Twain / I-70 Industrial","6","ACTIVE","22"
"MIDWEST ST LOUIS LLC","17-0003","","209 E GRAND BLVD","Near North Riverfront","6","ACTIVE","2"
"MIDWEST ST LOUIS LLC","17-0004","","3237 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"FRIENDLY'S SPORTS BAR & GRILL LLC","17-0005","","3503  ROGER PL","Tower Grove South","2","OPEN","15"
"SECOND STREET SANDWICHES INC","17-0006","ROOSTER","1104  LOCUST ST","Downtown","4","OPEN","7"
"OMNI HOTELS MANAGEMENT CORP             ","17-0007","","1019  PINE ST","Downtown","4","ACTIVE","7"
"MEDITERRANEAN HOUSE INC","17-0008","","6836  GRAVOIS AV","Boulevard Heights","1","OPEN","12"
"BABE'S TAVERN & GARDEN, LLC","17-0009","","3215  IVANHOE AV","Lindenwood Park","2","CLOSED","23"
"FAMILY CONVENIENCE MART, INC","17-0010","","3126  MAGNOLIA AV","Tower Grove East","3","CLOSED","6"
"CARSONS AD INC","17-0011","CARSONS","1712 S 9TH ST","Soulard","3","ACTIVE","7"
"SUB ZERO INC","17-0012","SUB ZERO VODKA BAR","306-10 N EUCLID AV","Central West End","5","CLOSED","28"
"KELLISON POHLMAN LLC","17-0013","","3509  LEMP AV","Marine Villa","3","ACTIVE","9"
"CHIMICHANGA MEXICAN RESTAURANT LLC","17-0014","","5425 S GRAND BLVD","Holly Hills","1","ACTIVE","13"
"JOANIES INC","17-0015","JOANIES TO GO","804  RUSSELL BLVD","Soulard","3","ACTIVE","7"
"BARTOLINOS HAMPTON INC","17-0016","BARTOLINOS OSTERIA","2103  SULPHUR AV","Clifton Heights","2","ACTIVE","24"
"HUMMELS LLC","17-0017","","7101 S BROADWAY","Carondelet","1","ACTIVE","11"
"HARD ROCK CAFE INTERNATIONAL STP INC","17-0018","HARD ROCK CAFE STL","1820  MARKET ST","Downtown West","4","CLOSED","6"
"MZM GROCERY & BANQUET CO INC","17-0019","","5207  GRAVOIS AV","Bevo Mill","1","CLOSED","14"
"HARRY LEE CORPORATION                   ","17-0020","","6027  CHIPPEWA ST","Lindenwood Park","2","ACTIVE","23"
"HD LLC","17-0021","","4412  MORGAN FORD RD","Bevo Mill","1","CLOSED","14"
"MBS INVESTMENTS LLC","17-0022","","4915  WASHINGTON AV","Central West End","5","CLOSED","18"
"PSG ENTERPRISE INC","17-0023","","1111  MISSISSIPPI AV","Lafayette Square","3","ACTIVE","6"
"MCCUBBINS INC","17-0024","","4615  MACKLIND AV","South Hampton","2","ACTIVE","16"
"CHINESE NOODLE CAFE INC","17-0025","CHINESE NOODLE CAFE","6138  DELMAR BLVD","Skinker / DeBaliviere","5","CLOSED","28"
"WILLIAMS LORRAINE","17-0026","","8734  GOODFELLOW BLVD","North Point","6","CLOSED","27"
"FLATROCK GRILLE LLC","17-0027","","1232  WASHINGTON AV","Downtown West","4","CLOSED","5"
"1324 WASHINGTON AVENUE LLC","17-0028","FLANNERYS","1324  WASHINGTON AV","Downtown West","4","ACTIVE","6"
"SMFF, INC.                              ","17-0029","","2723  DR MARTIN LUTHER KING DR","JeffVanderLou","4","ACTIVE","5"
"BLUES CITY DELI INC                     ","17-0030","","2438  MCNAIR AV","Benton Park","3","ACTIVE","7"
"DOC'S BAR & GRILL LLC","17-0031","","7800  VIRGINIA AV","Patch","1","CLOSED","11"
"CITY DESSERTS LLC","17-0032","BAILEYS CHOCOLATE BAR","1915  PARK AV","Lafayette Square","3","ACTIVE","6"
"NEO ATOMIC LLC                          ","17-0033","","4138  MANCHESTER AV","Forest Park Southeast","2","ACTIVE","17"
"RYM ENTERPRISES LLC","17-0034","","1700 S 9TH ST","Soulard","3","CLOSED","7"
"H & A ICE CREAM INCORPORATED","17-0035","","2801 CHEROKEE ST","Benton Park West","3","ACTIVE","20"
"FOUNTAIN ON LOCUST INC THE","17-0036","FOUNTAIN ON LOCUST THE","3037  LOCUST ST","Midtown","4","ACTIVE","19"
"OLD ROCK HOUSE LLC                      ","17-0037","","1200 S 7TH ST","La Salle","3","ACTIVE","7"
"AYA SOFYA LLC","17-0038","AYA SOFIA RESTAURANT","6671  CHIPPEWA ST","Lindenwood Park","2","ACTIVE","16"
"MOOLAH THEATRE COMPANY LLC","17-0039","","3821  LINDELL BLVD","Covenant Blu / Grand Center","4","CLOSED","19"
"MOOLAH LANES LLC                        ","17-0040","","3821  LINDELL BLVD","Covenant Blu / Grand Center","4","ACTIVE","19"
"JRL RESTAURANT COMPANY LLC","17-0041","","1432 N BROADWAY","Near North Riverfront","4","OPEN","7"
"UTOPIA STUDIOS LLC","17-0042","","3957  PARK AV","Botanical Heights","2","ACTIVE","17"
"ST. LOUIS COFFEE OASIS LLC","17-0043","","8 S EUCLID AV","Central West End","5","CLOSED","17"
"ROYALE FOOD & SPIRITS THE","17-0044","ROYALE FOOD & SPIRITS THE","3132 S KINGSHIGHWAY BLVD","Tower Grove South","2","ACTIVE","8"
"CRAFT RESTAURANTS LTD","17-0045","","4580  LACLEDE AV (OLD)","Central West End","5","CANCELLED","17"
"1212 INC                                ","17-0046","","1212  WASHINGTON AV","Downtown West","4","ACTIVE","5"
"FLAMINGO BOWL LLC","17-0047","","1113  WASHINGTON AV","Downtown","4","ACTIVE","7"
"DHLL INC                                ","17-0048","","1 S BROADWAY ","Downtown","4","ACTIVE","7"
